ID;name;subgroup;group;type;remarks
Annie Hunecke;Annie Hunecke;Filmkunstkollektiv, Identitäre Bewegung;IB;Aktivist;"Annie Hunecke ist wahrscheinlich die bekannteste Aktivistin der http://antifaaux.blackblogs.org/2019/11/veroeffentlichung-identitaere-bewegung/ bzw. München.
Sie ist Erste-Reihe-Aktivistin, war eine von zwei Frauen der Augsburger Ortsgruppe und zählte zur Kerngruppe.
Hunecke ist am 13.08.1999 in Ravensburg geboren. Ihren Realschulabschluss machte sie in München an einer Montessori-Schule. Hunecke ist als geringfügig Beschäftigte Schulbegleiterin tätig.
Erstmals trat sie im Januar 2016 bei den Identitären in München in Erscheinung. Von Anfang 2016 bis April 2018 wurden alle Artikel auf der IB Bayern Internetseite unter ihrem Namen veröffentlicht.
Mitte 2018 zog sie dann mit Ihrer Mutter nach Augsburg-Oberhausen. Sofort engagierte sie sich aktiv in der Augsburger Ortsgruppe und wurde Teil der Kerngruppe. Ihren ersten öffentlichen Auftritt in Augsburg hatte sie Ende Oktober 2018 bei einem Infostand der Identitären am Königsplatz in Augsburg.
Auch an der Aktion am Grünen Büro in Donauwörth, war Hunecke beteiligt. Bei dieser Aktion klebten die Augsburger Identitären, Robin Mengele, Tatjana Klug, Philipp-Amadeus Tremer und Annie Hunecke, von ihnen gefälschte Plakate mit hetzerischer Aufschrift an die Scheiben des Büros. Die Aktion sorgte damals Bundesweit für Aufsehen.
Hunecke ist eine der beiden Aktivist*innen, die am 13. Juni 2019 morgens Besuch der Polizei bekamen. Grund der Durchsuchung, ist der Vorwurf der Volksverhetzung. Hunecke und eine weitere Aktivistin lagen bei einer Aktion mit Kunstblut beschmiert vor einer Außenstelle des ANKER-Zentrums auf dem Boden, während Philipp-Amadeus Tremer und Marco Wagner ein Banner hielten. Der Vorwurf der Volksverhetzung ergibt sich für die Behörden aus einem Schild das vor ihnen auf dem Boden lag und die Aufschrift „Opfer von Multikulti“ trug.
Nach der Hausdurchsuchung wurde Hunecke von ihrer Mutter vor die Tür gesetzt.
Zum Schutz der Mutter und auf Grund ihres Handelns, getreu nach dem Motto „Nazis raus“, werden wir keine näheren familiären Informationen veröffentlichen.
Nachdem Hunecke ihr Kinderzimmer bei der Mutter verlassen musste, zog sie wieder nach München. Dort wohnt sie bei ihrem aktuellen Freund Philipp Mosig, in der Augustenstraße 70. Mosig zählt zum Kern der Münchner Identitären Gruppe und gilt als Führungsperson. Die Beziehung der beiden sorgte Anfangs für viel internen Ärger.
 
Kurzzeitig verfolgten die Identitären den Plan einen neuen Youtube Kanal mit Hunecke ins Leben zu rufen. Die Idee dazu stammte vmtl. von Martin Sellner höchst persönlich. Doch daraus wurde nie etwas.
ANSCHRIFT:
Annie Hunecke (13.08.1999)
Augustenstraße 70, München
(zusammen mit Neonazi Phillipp Mosig)
KONTAKT:
• 0157 80406889 (beschlagnahmt)
• 0163 9234760 (aktuell)
• Mail: anniehunecke@yahoo.com
 
BERUF:
• Realschulabschluss (Montessori-Schule München)
• geringfügige Beschäftigung als Schulbegleiterin
SOCIAL MEDIA:
• Instagram: anniehunecke"
Timm Kaufmann;Timm Kaufmann;Filmkunstkollektiv, Identitäre Bewegung;IB;Aktivist;"Ist Waffennaar, Teil der IB, Produziert Filme für das Filmkunstkollektiv und ist mit Norman Knauthe (AfD) Kickboxer

https://www.addn.me/nazis/bewaffnete-identitaere-wollen-in-stadtraete/"
Christiane Schmauder;Christiane Schmauder;Zentrum Automobil;ZA;Aktivist;"Christiane Schmauder ist die Ex-Frau des von Daimler
gekundigten Rassisten Joachim Schmauder und aktuelle
Lebensgefahrtin des Hauptgeschadigten Andreas Ziegler.
Zwei Daimler Mitarbeiter u.a. Schmauder beleidigte
einen Kollegen mehrfach rassistisch, weshalb sie gekundigt
wurden. Gemeinsam mit Zentrum Automobil gingen
sie juristisch gegen die Kundigung vor, verloren aber den
Prozess.

https://de.indymedia.org/sites/default/files/2021/05/Zentrum%20Automobil%20und%20die%20faschistische%20Rechte.pdf"
Michael Stecher;Michael Stecher;Zentrum Automobil;ZA;Aktivist;"stellv. Vorsitzende des Zentrum Automobil Mit Michael Stecher drehte Chrissy bereits im Vorfeld
der Kundgebung erste Videos zur Mobilisierung
und nutze die Offentlichkeit des Anti-Antifa-Aktivisten
und rechten Pseudo-Journalisten."
Raymond Burke;Raymond Burke;Vatikan;VA;Geistlicher;Kardinal, der oft als de facto Führer des konservativen Flügels im Vatikan angesehen wird
Michael Lindner;Michael Lindner;Betriebsrat Daimler Benz Sindelfingen, Zentrum Automobil;ZA;Aktivist;"Michael Lindner war fur Zentrum Automobil
Listenkandidat 2 bei den Betriebsratswahlen 2018
bei Daimler i n Sindelfingen."
Matteo Salvini;Matteo Salvini;Lega Nord;IT;Politiker;https://de.wikipedia.org/wiki/Italien https://de.wikipedia.org/wiki/Politiker und https://de.wikipedia.org/wiki/Parteivorsitzender der https://de.wikipedia.org/wiki/Lega_Nord sowie Mitglied des https://de.wikipedia.org/wiki/Senato_della_Repubblica
Kellyanne Conway;Kellyanne Conway;Republikaner;USA;Jurist;Kellyanne Elizabeth Conway ist eine US-amerikanische Juristin und Meinungsforscherin. Bekannt wurde sie als republikanische Wahlkampfstrategin. Bei der Präsidentschaftswahl in den Vereinigten Staaten 2016 war sie zunächst im Team von Ted Cruz, danach wurde sie Wahlkampfmanagerin von Donald Trump
Ted Cruz;Ted Cruz;Republikaner;USA;Politiker;Rafael Edward „Ted“ Cruz ist ein US-amerikanischer Politiker der Republikanischen Partei. Seit 2013 gehört Cruz dem Senat der Vereinigten Staaten für den Bundesstaat Texas an. Für die Präsidentschaftswahl 2016 bewarb er sich um die Nominierung seiner Partei
Stephen K. Bannon;Stephen K. Bannon;Einzelperson;PP;Publizist;Stephen Kevin „Steve“ Bannon ist ein US-amerikanischer Publizist, Filmproduzent und politischer Berater. Er leitete von 2012 bis August 2016 und von August 2017 bis Anfang 2018 die als rechtspopulistisch bis rechtsradikal eingestufte Website Breitbart News Network
Richard Williamson;Richard Williamson;Gesellschaft St. Pius X;VA;Geistlicher;Bischof und notorischer Holocaust-Leugner
Manuel Wurm;Manuel Wurm;AfD Hessen Partei, Junge Alternative;AFD_Politiker;Politiker;"Ein Gericht stuft die Junge Alternative als rechtsextrem ein. Der Offenbacher Stadtverordnete Manuel Wurm sitzt im Bundesvorstand - und nimmt den AfD-Nachwuchs in Schutz.
Offenbach – Die Jugendorganisation der AfD ist mit einem Eilantrag vor dem Verwaltungsgericht Köln gescheitert. Demzufolge darf die Junge Alternative (JA) vom Bundesamt für Verfassungsschutz als „gesichert extremistische Bestrebung“ eingestuft und behandelt werden."
Hans-Thomas Tillschneider;Hans-Thomas Tillschneider;AFD Sachsen-Anhalt Partei, AfD Sachsen-Anhalt Fraktion, Ein Prozent e.V;AFD_Politiker;Politiker;Hans-Thomas Tillschneider (* https://de.wikipedia.org/wiki/5._Februar https://de.wikipedia.org/wiki/1978 in https://de.wikipedia.org/wiki/Timi%C8%99oara, https://de.wikipedia.org/wiki/Rum%C3%A4nien) ist ein https://de.wikipedia.org/wiki/Rum%C3%A4niendeutsche https://de.wikipedia.org/wiki/Politiker (https://de.wikipedia.org/wiki/Alternative_f%C3%BCr_Deutschland). Seit März 2016 ist er Abgeordneter im https://de.wikipedia.org/wiki/Landtag_von_Sachsen-Anhalt und kulturpolitischer Sprecher der AfD-Landtagsfraktion.https://de.wikipedia.org/wiki/Hans-Thomas_Tillschneider#cite_note-1https://de.wikipedia.org/wiki/Hans-Thomas_Tillschneider#cite_note-2https://de.wikipedia.org/wiki/Hans-Thomas_Tillschneider#cite_note-3 Er ist seit 2020 stellvertretender Landesvorsitzender der AfD Sachsen-Anhalthttps://de.wikipedia.org/wiki/Hans-Thomas_Tillschneider#cite_note-4 und seit 2021 auch 2. stellvertretender Vorsitzender der AfD-Fraktion im Landtag von Sachsen-Anhalt.https://de.wikipedia.org/wiki/Hans-Thomas_Tillschneider#cite_note-5 Tillschneider gilt als Akteur des rechtsextremen Flügels seiner Partei und war Sprecher der inzwischen aufgelösten https://de.wikipedia.org/wiki/Patriotische_Plattform der AfD. Tillschneider hat enge Kontakte zur https://de.wikipedia.org/wiki/Rechtsextremismus https://de.wikipedia.org/wiki/Identit%C3%A4re_Bewegunghttps://de.wikipedia.org/wiki/Hans-Thomas_Tillschneider#cite_note-6 und ist Mitbegründer des IB-nahen Kampagnennetzwerks https://de.wikipedia.org/wiki/Ein_Prozent_f%C3%BCr_unser_Land. Er kooperiert eng mit dem https://de.wikipedia.org/wiki/Institut_f%C3%BCr_Staatspolitik und dem Monatsmagazin https://de.wikipedia.org/wiki/Compact_(Magazin), die beide auch an Ein Prozent beteiligt sind.https://de.wikipedia.org/wiki/Hans-Thomas_Tillschneider#cite_note-7https://de.wikipedia.org/wiki/Hans-Thomas_Tillschneider#cite_note-8https://de.wikipedia.org/wiki/Hans-Thomas_Tillschneider#cite_note-9 Entsprechend wird er der „https://de.wikipedia.org/wiki/Neue_Rechte“ zugeordnet. Am 13. Februar 2020 wurde bekannt, dass er – neben https://de.wikipedia.org/wiki/Bj%C3%B6rn_H%C3%B6cke und https://de.wikipedia.org/wiki/Andreas_Kalbitz – seit Jahresbeginn vom https://de.wikipedia.org/wiki/Bundesamt_f%C3%BCr_Verfassungsschutz beobachtet wird.https://de.wikipedia.org/wiki/Hans-Thomas_Tillschneider#cite_note-10
Karl Albrecht Schachtschneider;Karl Albrecht Schachtschneider;Desiderius-Erasmus-Stiftung, Ein Prozent e.V, Identitäre Bewegung;IB;Aktivist;Karl Albrecht Schachtschneider (* https://de.wikipedia.org/wiki/11._Juli https://de.wikipedia.org/wiki/1940 in https://de.wikipedia.org/wiki/Sitno_(Szczecinek), https://de.wikipedia.org/wiki/Provinz_Pommern) ist ein https://de.wikipedia.org/wiki/Deutschland https://de.wikipedia.org/wiki/Staatsrechtslehrer, der im Spektrum der https://de.wikipedia.org/wiki/Neue_Rechte aktiv ist. Er war bis zu seiner https://de.wikipedia.org/wiki/Emeritierung im Jahr 2005 https://de.wikipedia.org/wiki/Professor für https://de.wikipedia.org/wiki/%C3%96ffentliches_Recht an der https://de.wikipedia.org/wiki/Universit%C3%A4t_Erlangen-N%C3%BCrnberg. Er ist Mitglied im Kuratorium der https://de.wikipedia.org/wiki/AfD-nahen https://de.wikipedia.org/wiki/Desiderius-Erasmus-Stiftung und wird zum inneren Kreis des https://de.wikipedia.org/wiki/Neue_Rechte Kampagnenprojekts https://de.wikipedia.org/wiki/Ein_Prozent gezählt.
Wiebke Nahrath;Wiebke Nahrath;Identitäre Bewegung;IB;Ehefrau;Ehefrau von Simon Kaupert
Wolfram Nahrath;Wolfram Nahrath;Heimattreue Deutsche Jugend, NPD, Wiking-Jugend;NPD;Rechtsanwalt;Wolfram Nahrath (* https://de.wikipedia.org/wiki/1962) ist ein deutscher https://de.wikipedia.org/wiki/Neonazi-https://de.wikipedia.org/wiki/Kader und https://de.wikipedia.org/wiki/Rechtsanwalt. Er war bis zu ihrem Verbot 1994https://de.wikipedia.org/wiki/Wolfram_Nahrath#cite_note-1 Vorsitzender der https://de.wikipedia.org/wiki/Wiking-Jugend, war anschließend für die https://de.wikipedia.org/wiki/Heimattreue_Deutsche_Jugend tätig und Funktionär der https://de.wikipedia.org/wiki/Rechtsextreme https://de.wikipedia.org/wiki/Nationaldemokratische_Partei_Deutschlands (NPD).
Thassilo Hantusch;Thassilo Hantusch;NPD;NPD;Politiker;"Die Familie Zutt/Hantusch im Lahn-Dill-Kreis7,7 Prozent der abgegebenen Stimmen errang die NPD bei der hessischen Kommunalwahl 2016 in der Stadt Wetzlar im Lahn-Dill-Kreis. Teil der fünfköpfigen NPD-Fraktion im dortigen Stadtrat wird Thassilo Hantusch sein. Bereits drei Generationen seiner Familie sind eng mit der Partei verbunden.
7,7 Prozent der abgegebenen Stimmen errang die NPD bei der hessischen Kommunalwahl 2016 in der Stadt Wetzlar im Lahn-Dill-Kreis. Teil der fünfköpfigen NPD-Fraktion im dortigen Stadtrat wird Thassilo Hantusch sein. Bereits drei Generationen seiner Familie sind eng mit der Partei verbunden.
Kurz vor der Kommunalwahl, im Februar 2016, erhielt Hantusch einen Strafbefehl über 30 Tagessätze. Ihm wird vorgeworfen, mit etwa 40 Neonazis am 1. Mai 2015 in Weimar eine Gewerkschaftsveranstaltung angegriffen zu haben. Dabei war die Bühne gestürmt und dem SPD-Bundestagsabgeordneten Carsten Schneider das Mikrofon entrissen worden, um rassistische Parolen zu skandieren. Besucher_innen des Festes waren mit Faustschlägen angegriffen worden."
Andreas Kalbitz;Andreas Kalbitz;Heimattreue Deutsche Jugend, Identitäre Bewegung, Parteilos;IB;Politiker;https://de.wikipedia.org/wiki/Andreas_Kalbitz
Hans-Ulrich Kopp;Hans-Ulrich Kopp;Unternehmer;PP;Bauunternehmer;"Ex-Bauunternehmer aus Stuttgart. Gilt im rechten Spektrum als Multifunktionär
Geldgeber von “Compact”-Magazin und früherer stiller Teilhaber. Mittlerweile Teilhaber von Conspect-Film GmbH"
Theo Müller;Theo Müller;Unternehmer;PP;Milliardär;"Molkerei-Unternehmer von 
Müllermilch, Landliebe, Weihenstephan"
Martin Lichtmesz;Martin Lichtmesz;Das Institut für Staatspolitik;;Aktivist;"in Abwandlung seines bürgerlichen Namens Martin Semlitsch
https://de.wikipedia.org/wiki/%C3%96sterreich https://de.wikipedia.org/wiki/Publizist, https://de.wikipedia.org/wiki/%C3%9Cbersetzer und Aktivist der https://de.wikipedia.org/wiki/Neue_Rechte
Autor im Institut für Staatspolitik und dem Verlag Antaios, sowie der neurechten Zeitschrift https://de.wikipedia.org/wiki/Sezession_(Zeitschrift)"
Olena Semenyaka;Olena Semenyaka;Asow-Regiment;AR;Aktivist;"ukrainische https://de.wikipedia.org/wiki/Rechtsextremismus https://de.wikipedia.org/wiki/Aktivist, die als die 'https://de.wikipedia.org/wiki/First_Lady' des https://de.wikipedia.org/wiki/Ukraine https://de.wikipedia.org/wiki/Nationalismus bezeichnet wurde und als Teil des ukrainischen Asow-Regiments bereits mit Hakenkreuz und Hitlergruß posierte

"
Karlheinz Weißmann;Karlheinz Weißmann;Desiderius-Erasmus-Stiftung, Junge Freiheit;JF;Autor;"Mitbegründer des Instituts für Staatspolitik bis zum Bruch 2013
Seit Jahrzehnten Kolumnist der neurechten Wochenzeitung https://de.wikipedia.org/wiki/Junge_Freiheit. Seit 2017 Herausgeber des Monatsmagazin https://de.wikipedia.org/wiki/Cato_(Magazin)
Vorsitzender des Kuratoriums der Desiderius-Erasmus-Stiftung"
Dieter Stein;Dieter Stein;Junge Freiheit;JF;Journalist;Gründer und https://de.wikipedia.org/wiki/Gesch%C3%A4ftsf%C3%BChrung_(Deutschland) der Wochenzeitung https://de.wikipedia.org/wiki/Junge_Freiheit
Erika Steinbach;Erika Steinbach;Desiderius-Erasmus-Stiftung;DES;Politiker;"1990 bis 2017 war sie https://de.wikipedia.org/wiki/Mitglied_des_Deutschen_Bundestages (CDU)
Seit 2018 Vorsitzende der Desiderius Erasmus Stiftung
Seit 2022 AfD-Mitglied"
Erik Lehnert;Erik Lehnert;AfD Fraktion Brandenburg, Das Institut für Staatspolitik;IfS;Publizist;deutscher https://de.wikipedia.org/wiki/Publizist und Referent bei der https://de.wikipedia.org/wiki/Alternative_f%C3%BCr_Deutschland-Fraktion im https://de.wikipedia.org/wiki/Landtag_Brandenburg. Seit 2008 Geschäftsführer des https://de.wikipedia.org/wiki/Neue_Rechte https://de.wikipedia.org/wiki/Institut_f%C3%BCr_Staatspolitik
Hans-Christian Limmer;Hans-Christian Limmer;Backwerk Management GmbH;PP;Unternehmer;Mitbegründer der https://de.wikipedia.org/wiki/BackWerk. Bis Januar 2024 Gesellschafter der Unternehmen https://de.wikipedia.org/wiki/Hans_im_Gl%C3%BCck_(Restaurantkette) und https://de.wikipedia.org/w/index.php?title=Pottsalat&action=edit&redlink=1
